:grinning: | DEB249
:smiley: | DEB249
:smile: | DFAE4A
:grin: | E0AF4F
:laughing: | DCB360
:face_holding_back_tears: | DBB45A
:sweat_smile: | D2AE6D
:joy: | C5AE85
:rofl: | C5AE85
:smiling_face_with_tear: | DAB97A
:relaxed: | E4B26A
:blush: | E5B268
:innocent: | DCB669
:slight_smile: | E7BA4F
:upside_down: | E8B940
:wink: | E6B844
:relieved: | E6B643
:heart_eyes: | E09D44
:smiling_face_with_3_hearts: | E6AC44
:kissing_heart: | E4AF42
:kissing: | E8B945
:kissing_smiling_eyes: | ECBC48
:kissing_closed_eyes: | E9B250
:yum: | E9B64A
:stuck_out_tongue: | E4B158
:stuck_out_tongue_closed_eyes: | E3AE47
:stuck_out_tongue_winking_eye: | E5B66A
:zany_face: | E3BB7F
:face_with_raised_eyebrow: | E2B548
:face_with_monocle: | D9B56D
:nerd: | CFA956
:sunglasses: | CEA540
:disguised_face: | C89E45
:star_struck: | DE9E49
:partying_face: | DFAA58
:smirk: | E4B84B
:unamused: | E7B843
:disappointed: | EBBB46
:pensive: | E8B945
:worried: | E2B547
:confused: | EABA46
:slight_frown: | EABA43
:frowning2: | E8B942
:persevere: | E2B443
:confounded: | E0B242
:tired_face: | DDB042
:weary: | DBB04C
:pleading_face: | D6B35A
:cry: | DEB55C
:sob: | D6B370
:triumph: | E5BE6D
:angry: | E2B24A
:rage: | C45F58
:face_with_symbols_over_mouth: | B96556
:exploding_head: | CEA574
:flushed: | DFB185
:hot_face: | BD7790
:cold_face: | 7E9CC4
:face_in_clouds: | D5C6B1
:scream: | D2BFA0
:fearful: | D2B98E
:cold_sweat: | CEBB94
:disappointed_relieved: | DAB66B
:sweat: | E1B860
:hugging: | E3AF52
:thinking: | E2AB42
:face_with_peeking_eye: | DDA24C
:face_with_hand_over_mouth: | E7AF3C
:face_with_open_eyes_and_hand_over_mouth: | E9AE3C
:saluting_face: | E4AE3E
:shushing_face: | E6B23E
:melting_face: | E6B244
:lying_face: | E7B13C
:no_mouth: | EABB54
:dotted_line_face: | E7D1AB
:neutral_face: | E7B852
:face_with_diagonal_mouth: | E7B542
:expressionless: | E9B745
:shaking_face: | D3AD50
:head_shaking_horizontally: | E0B758
:head_shaking_vertically: | E2B959
:grimacing: | DCB256
:rolling_eyes: | E9C270
:hushed: | E3B849
:frowning: | E9BC49
:anguished: | E6B845
:open_mouth: | E5B744
:astonished: | E1B345
:yawning_face: | E1AB3A
:sleeping: | E2B64B
:drooling_face: | E5B84D
:sleepy: | E3B958
:face_exhaling: | E6BC60
:dizzy_face: | DEB03E
:face_with_spiral_eyes: | DFB241
:zipper_mouth: | E3B853
:woozy_face: | DBB349
:nauseated_face: | 8FA64C
:face_vomiting: | C4AF5D
:sneezing_face: | DDBE83
:mask: | EDD19D
:thermometer_face: | E2B659
:head_bandage: | E1BA77
:money_mouth: | D3AF51
:cowboy: | C49C4B
:smiling_imp: | A282C0
:imp: | 9F7BBC
:japanese_ogre: | A2606A
:japanese_goblin: | C4857C
:clown: | DDB38D
:poop: | BC8870
:ghost: | BBBBBB
:skull: | AFB5B6
:skull_crossbones: | AAACA9
:alien: | A9A8AB
:space_invader: | 6C5B7F
:robot: | 9CA0BC
:jack_o_lantern: | CE803D
:smiley_cat: | E2AF4B
:smile_cat: | DCB25A
:joy_cat: | D4AB6A
:heart_eyes_cat: | DEA158
:smirk_cat: | E2B458
:kissing_cat: | E6B555
:scream_cat: | E0B97C
:crying_cat_face: | DCB266
:pouting_cat: | E5B64D
:handshake: | E8C169
:heart_hands: | D5B756
:palms_up_together: | EAC457
:open_hands: | E0BC58
:raised_hands: | D2B257
:clap: | E3BA4E
:thumbsup: | ECC456
:thumbsdown: | EDC45F
:punch: | ECC159
:fist: | EEC756
:left_facing_fist: | EAC55D
:right_facing_fist: | E5C05A
:leftwards_pushing_hand: | DEB856
:rightwards_pushing_hand: | DCBD6F
:fingers_crossed: | D8B96E
:v: | E3C164
:hand_with_index_finger_and_thumb_crossed: | E8BF4A
:love_you_gesture: | EAC04B
:metal: | E4BA4D
:ok_hand: | E3BB4E
:pinched_fingers: | E8C252
:pinching_hand: | E0BA52
:palm_down_hand: | E5BB5A
:palm_up_hand: | E7BE66
:point_left: | E8C14F
:point_right: | E8C048
:point_up_2: | DFBB51
:point_down: | ECC353
:point_up: | ECC353
:raised_hand: | E7C664
:raised_back_of_hand: | E8C34E
:hand_splayed: | DFBD65
:vulcan: | E3C374
:wave: | DABA70
:call_me: | E4C469
:leftwards_hand: | E9C967
:rightwards_hand: | EBCA5E
:muscle: | E1C16A
:mechanical_arm: | B0AEAD
:middle_finger: | DCBF75
:writing_hand: | CDAF79
:pray: | C9B67B
:index_pointing_at_the_viewer: | E3BE63
:foot: | DCBE60
:leg: | D9C270
:mechanical_leg: | B2ACA2
:lipstick: | E08C6B
:kiss: | C3463E
:lips: | BB7174
:biting_lip: | CB857F
:tooth: | C8C7CA
:tongue: | D27963
:ear: | EDC654
:ear_with_hearing_aid: | DEC373
:nose: | D8BA55
:footprints: | 755535
:eye: | B1A799
:eyes: | C1C6CA
:anatomical_heart: | BE6D75
:lungs: | D06A67
:brain: | DD8D95
:speaking_head: | 6A6B87
:bust_in_silhouette: | 6D717F
:busts_in_silhouette: | 6582A7
:people_hugging: | 6F91B7
:baby: | E0BD5F
:child: | EBBE60
:girl: | EDBF63
:boy: | ECC164
:adult: | E8B74C
:woman: | ECB546
:man: | EAB849
:person_curly_hair: | EFB549
:woman_curly_haired: | F3B647
:man_curly_haired: | EBB856
:person_red_hair: | E4A546
:woman_red_haired: | E5A042
:man_red_haired: | E3AB44
:blond_haired_person: | EACA4B
:blond_haired_woman: | ECCE49
:blond_haired_man: | E8CB5A
:person_white_hair: | E8D29C
:woman_white_haired: | E5D2A7
:man_white_haired: | E7CE91
:person_bald: | EDCC6D
:woman_bald: | EDCB6B
:man_bald: | EDCB69
:bearded_person: | EDB74E
:woman_beard: | E9B35F
:man_beard: | EDBA55
:older_adult: | DDC48C
:older_woman: | C9B174
:older_man: | E8C65E
:man_with_chinese_cap: | D0B055
:person_wearing_turban: | DDB683
:woman_wearing_turban: | C7AA8E
:man_wearing_turban: | D3B174
:woman_with_headscarf: | B37F93
:police_officer: | B39376
:woman_police_officer: | B1976F
:man_police_officer: | A99A76
:construction_worker: | DAB95C
:woman_construction_worker: | E3BF5D
:man_construction_worker: | E1C25F
:guard: | A47E49
:woman_guard: | 916542
:man_guard: | 8B6B53
:detective: | 787871
:woman_detective: | 85766A
:man_detective: | 89766C
:health_worker: | CAA879
:woman_health_worker: | CFA76F
:man_health_worker: | BA9F73
:farmer: | AA8F5E
:woman_farmer: | AC936F
:man_farmer: | B2955F
:cook: | CCB99B
:woman_cook: | D5BD9C
:man_cook: | D2BF9E
:student: | BF9E55
:woman_student: | BF9348
